,precip,mintemp,maxtemp
143,58.71595,23.687326,31.41834
144,17.619396,22.926094,31.72058
145,20.228096,22.981314,32.351414
146,24.2718,24.7169,33.087788
147,101.374855,23.98129,31.713552
148,161.27426,22.645243,29.974073
149,19.191107,21.371534,28.926296
150,26.06024,20.11599,28.483513
151,126.52306,21.490273,28.698784
152,21.106056,21.835272,29.88099
153,91.54684,22.787014,30.73198
154,131.0696,23.834839,31.062044
155,56.811028,23.687326,31.462957
156,39.586384,24.281477,32.409294
157,7.234095,23.724195,32.876415
158,104.2485,24.596066,32.830673
159,131.85342,23.071743,30.567719
160,196.5709,22.991076,30.240742
161,35.17136,20.916151,28.691748
162,29.521555,20.506441,28.683514
163,42.96205,20.49982,28.441666
164,60.051327,21.653154,29.987587
165,78.6713,23.087015,30.83198
166,71.69214,23.646122,31.673328
167,69.75134,24.023611,31.865908
168,21.949875,23.926094,31.953913
169,18.177488,24.092598,32.276413
170,48.415474,24.416899,32.576504
171,83.466446,23.62886,30.859386
172,287.2224,23.445242,30.594908
173,98.67352,22.561985,29.56258
174,53.21609,21.613039,29.126396
175,46.252945,20.690271,28.420834
176,101.70041,21.762703,28.903038
177,81.47396,22.377466,30.02243
178,74.4209,23.446121,31.473328
179,66.398895,22.998611,31.329624
180,32.17045,23.826096,31.499746
181,17.488522,23.081314,32.276413
182,50.353405,24.062733,32.85567
183,130.6787,23.42886,31.804005
184,323.75223,22.788124,29.274075
185,63.253033,22.3507,29.226295
186,59.594097,21.370157,28.608513
187,63.987278,21.644438,28.641666
188,64.78305,22.287703,29.676302
189,64.397415,23.732847,31.477814
190,221.90674,23.289005,31.21621
191,29.478224,25.087326,32.321293
192,18.830086,25.329046,32.202698
193,16.628746,25.192598,32.49065
194,7.7295723,25.643635,33.424076
195,198.74522,25.571743,31.559385
196,127.46795,23.081528,30.231192
197,63.93977,21.80782,29.283413
198,108.07735,21.41599,28.729347
199,38.66048,21.526556,28.523785
200,37.237946,21.178154,29.12387
201,6.784999,22.844133,30.568264
202,175.7735,23.634838,31.562044
203,99.016685,24.244446,32.57546
204,22.45186,24.31481,32.56346
205,11.762709,24.171766,32.376415
206,62.555927,25.053183,32.71279
207,89.18298,25.071743,31.423101
208,245.63802,23.135695,30.285358
209,78.81609,23.016151,28.93758
210,80.71423,21.306442,28.108513
211,48.89512,22.101557,28.4875
212,83.07017,22.368605,29.12387
213,170.51883,23.498299,30.589098
214,170.54993,23.289005,31.21621
215,41.915123,23.82361,31.375458
216,11.296249,23.371927,30.745579
217,13.433612,24.04503,32.940132
218,59.024925,23.916899,31.930672
219,151.72925,23.52886,31.17067
220,295.93625,22.446978,29.596643
221,67.47479,21.671534,28.583414
222,66.0887,20.658873,28.172228
223,76.910835,20.690271,28.07795
224,138.98845,21.743607,28.835155
225,231.1385,22.444132,30.489098
226,24.861286,24.089005,32.01621
227,54.14938,24.123611,32.354626
