,Date-Monthly,precip,mintemp,maxtemp,DAP,Urea,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population,Average dietary energy supply adequacy (percent) (3-year average),Political stability and absence of violence/terrorism (index),Agricultural land (1000 ha),Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha),price
18,Jul-11,4.529812000000001,11.279407,23.898948999999998,0.9072069490068124,0.696664388544721,32361.9015,43275.373416666676,21785.8705,21489.499416666666,10221.586666666666,97.08333333333333,-1.2466666666666666,27638.333333333332,5808.333333333333,58037.0,6338.333333333333,4269.650000000001,56914.0,530.0,4070.7999999999997,198.85,0.0,0.81
19,Aug-11,6.671178,11.46053,23.025166,0.8796490222447585,0.7154037787429177,32420.565000000002,43372.47283333334,21834.583,21537.886833333334,10259.572333333334,97.16666666666667,-1.2533333333333334,27646.666666666668,5816.666666666667,58037.0,6346.666666666667,4272.700000000001,56914.0,530.0,4073.3999999999996,199.3,0.0,0.57
20,Sep-11,8.5158875,11.033572999999999,24.36753,0.9656297537423664,0.7341431689411143,32479.2285,43469.57225000001,21883.2955,21586.274250000002,10297.558,97.25,-1.26,27655.0,5825.0,58037.0,6355.0,4275.75,56914.0,530.0,4076.0,199.75,0.0,0.59
21,Oct-11,8.2532135,10.232353999999999,24.20126,0.8796490222447585,0.6878458519808638,32537.892,43566.671666666676,21932.007999999998,21634.661666666667,10335.543666666666,97.33333333333333,-1.2666666666666666,27663.333333333332,5833.333333333333,58037.0,6363.333333333333,4278.8,56914.0,530.0,4078.6,200.20000000000002,0.0,0.55
22,Nov-11,7.352359,10.842239999999999,23.754436,1.0736568266496176,0.8002821931700435,32596.5555,43663.77108333334,21980.7205,21683.04908333333,10373.529333333332,97.41666666666667,-1.2733333333333334,27671.666666666668,5841.666666666667,58037.0,6371.666666666667,4281.85,56914.0,530.0,4081.2,200.65,0.0,0.55
23,Dec-11,3.1145615,10.7222185,24.551083,1.1464097533014397,0.868625851539937,32655.218999999997,43760.870500000005,22029.432999999997,21731.4365,10411.515,97.5,-1.28,27680.0,5850.0,58037.0,6380.0,4284.9,56914.0,530.0,4083.7999999999997,201.10000000000002,0.0,0.62
24,Jan-12,2.5901628,8.786958,26.622728000000002,1.2224696311647083,0.9799598756586344,32713.8825,43857.96991666667,22078.1455,21779.823916666668,10449.500666666667,97.58333333333333,-1.2866666666666666,27688.333333333332,5858.333333333333,58037.0,6388.333333333333,4287.95,56914.0,530.0,4086.3999999999996,201.55,0.0,0.67
25,Feb-12,1.5743190999999999,10.029417,27.294146,1.2257765823761548,0.9314579245574196,32772.546,43955.06933333333,22126.858,21828.211333333333,10487.486333333332,97.66666666666667,-1.2933333333333334,27696.666666666668,5866.666666666667,58037.0,6396.666666666667,4291.0,56914.0,530.0,4088.9999999999995,202.0,0.0,0.69
26,Mar-12,2.3613285,11.265604,27.476,1.1442051191604754,0.9314579245574196,32831.2095,44052.16875,22175.570499999998,21876.598749999997,10525.471999999998,97.75,-1.3,27705.0,5875.0,58037.0,6405.0,4294.05,56914.0,530.0,4091.5999999999995,202.45000000000002,0.0,0.69
27,Apr-12,14.058746000000003,12.363864,25.104853,1.1442051191604754,0.9314579245574196,32889.873,44149.26816666667,22224.283,21924.986166666666,10563.457666666665,97.83333333333333,-1.3066666666666666,27713.333333333332,5883.333333333333,58037.0,6413.333333333333,4297.1,56914.0,530.0,4094.2,202.9,0.0,0.76
