,Date-Monthly,precip,mintemp,maxtemp,DAP,Urea,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population,Average dietary energy supply adequacy (percent) (3-year average),Political stability and absence of violence/terrorism (index),Agricultural land (1000 ha),Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha),price
12,Jan-11,1.1751061999999999,23.851303,32.883644,0.919332436782116,0.6547763398663992,33566.130666666664,45120.600750000005,22612.215583333335,22508.39275,13391.308416666667,102.58333333333333,-0.0075000000000000015,37945.833333333336,12008.333333333334,94730.0,13945.833333333334,47703.0,88580.0,1937.5,47457.166666666664,245.83333333333334,0.0,0.76
13,Feb-11,11.88736,23.846684,33.016059999999996,1.0141317048435812,0.7087898763200248,33627.20333333333,45231.183000000005,22667.236666666668,22563.954,13452.928333333333,102.66666666666667,-0.01,38016.666666666664,12066.666666666666,94730.0,14016.666666666666,47672.0,88580.0,1950.0,47425.333333333336,246.66666666666666,0.0,0.7
14,Mar-11,9.715864999999999,23.522743,32.37474,0.9931876805044204,0.5632840230163805,33688.276,45341.765250000004,22722.25775,22619.51525,13514.54825,102.75,-0.012499999999999999,38087.5,12125.0,94730.0,14087.5,47641.0,88580.0,1962.5,47393.5,247.5,0.0,0.8
15,Apr-11,26.792970000000004,23.571388,31.506890999999996,1.0185409731255102,0.7407570713640071,33749.348666666665,45452.3475,22777.278833333334,22675.0765,13576.168166666666,102.83333333333333,-0.015000000000000001,38158.333333333336,12183.333333333334,94730.0,14158.333333333334,47610.0,88580.0,1975.0,47361.666666666664,248.33333333333334,0.0,0.86
16,May-11,16.118709,22.570503,30.821527000000003,1.0670429242267243,0.6911528031923103,33810.42133333333,45562.92975,22832.299916666667,22730.63775,13637.788083333333,102.91666666666667,-0.0175,38229.166666666664,12241.666666666666,94730.0,14229.166666666666,47579.0,88580.0,1987.5,47329.833333333336,249.16666666666666,0.0,0.83
17,Jun-11,2.5527124,20.963785,30.331718,1.0472012169580458,0.7220176811658106,33871.494,45673.512,22887.321,22786.199,13699.408,103.0,-0.02,38300.0,12300.0,94730.0,14300.0,47548.0,88580.0,2000.0,47298.0,250.0,0.0,0.82
18,Jul-11,1.0997908,19.741979999999998,29.670121999999996,1.0990101192707071,0.7760312176194359,33932.78433333333,45788.47183333334,22944.684416666667,22843.795000000002,13764.125583333333,103.08333333333333,-0.014166666666666668,38416.666666666664,12408.333333333334,94730.0,14416.666666666666,47517.0,88580.0,2008.3333333333333,47266.166666666664,250.83333333333334,0.0,0.82
19,Aug-11,2.2165472,19.850348,29.435383,1.2312881677285654,0.8598073149760798,33994.07466666667,45903.43166666667,23002.047833333334,22901.391,13828.843166666666,103.16666666666667,-0.008333333333333333,38533.333333333336,12516.666666666666,94730.0,14533.333333333334,47486.0,88580.0,2016.6666666666667,47234.333333333336,251.66666666666666,0.0,0.75
20,Sep-11,6.739053,20.631076999999998,30.220015999999998,1.1420004850195111,0.9435834123327234,34055.365,46018.3915,23059.41125,22958.987,13893.560749999999,103.25,-0.0024999999999999988,38650.0,12625.0,94730.0,14650.0,47455.0,88580.0,2025.0,47202.5,252.5,0.0,0.78
21,Oct-11,5.616992,21.010832,30.853888,1.2026279238960296,1.027359509689367,34116.655333333336,46133.35133333333,23116.774666666668,23016.583,13958.278333333332,103.33333333333333,0.003333333333333334,38766.666666666664,12733.333333333334,94730.0,14766.666666666666,47424.0,88580.0,2033.3333333333333,47170.666666666664,253.33333333333334,0.0,0.71
