,Date-Monthly,precip,mintemp,maxtemp,DAP,Urea,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population,Average dietary energy supply adequacy (percent) (3-year average),Political stability and absence of violence/terrorism (index),Agricultural land (1000 ha),Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha),price
10,Nov-10,12.651745,17.212406,28.153103,1.1761723142044578,0.9568112171785093,27661.941,32865.085750000006,16737.529583333333,16127.554416666666,6744.239916666666,106.58333333333333,-0.9916666666666667,14306.666666666666,6791.666666666667,24155.0,8991.666666666666,2696.666666666667,20052.0,2200.0,2641.25,55.416666666666664,0.0,0.56
11,Dec-10,7.558181,17.779636,28.690635999999998,1.1001124363411892,0.8509887784122225,27726.057,32952.46950000001,16782.3665,16170.101499999999,6778.333500000001,106.5,-0.99,14315.0,6800.0,24155.0,9000.0,2685.4,20052.0,2200.0,2629.9,55.5,0.0,0.57
12,Jan-11,6.680712,18.02422,29.805231,1.0538151193809389,0.746268656716418,27790.173000000003,33039.85325,16827.203416666667,16212.648583333332,6812.427083333334,106.41666666666667,-0.9883333333333333,14323.333333333334,6808.333333333333,24155.0,9008.333333333334,2674.133333333333,20052.0,2200.0,2618.55,55.583333333333336,0.0,0.55
13,Feb-11,5.336741,17.489813,29.028854,0.933662558698384,0.710994510460989,27854.289,33127.237,16872.040333333334,16255.195666666665,6846.520666666667,106.33333333333333,-0.9866666666666667,14331.666666666666,6816.666666666667,24155.0,9016.666666666666,2662.866666666667,20052.0,2200.0,2607.2000000000003,55.666666666666664,0.0,0.58
14,Mar-11,14.313241999999999,18.052416,28.712677000000003,1.069247558367689,0.8498864613417404,27918.405,33214.62075,16916.877249999998,16297.742749999998,6880.6142500000005,106.25,-0.985,14340.0,6825.0,24155.0,9025.0,2651.6000000000004,20052.0,2200.0,2595.8500000000004,55.75,0.0,0.68
15,Apr-11,16.577379,18.336533,28.0268,1.1497167045128862,1.0075178024206883,27982.521,33302.0045,16961.714166666665,16340.289833333332,6914.707833333334,106.16666666666667,-0.9833333333333333,14348.333333333334,6833.333333333333,24155.0,9033.333333333334,2640.3333333333335,20052.0,2200.0,2584.5,55.833333333333336,0.0,0.76
16,May-11,15.391557,17.67951,27.950333,1.1254657289622787,0.8917745100200622,28046.637000000002,33389.38825,17006.551083333332,16382.836916666665,6948.801416666667,106.08333333333333,-0.9816666666666667,14356.666666666666,6841.666666666667,24155.0,9041.666666666666,2629.0666666666666,20052.0,2200.0,2573.15,55.916666666666664,0.0,0.82
17,Jun-11,14.784346000000003,16.67176,26.943398,1.148614387442404,0.911616217288741,28110.753,33476.772000000004,17051.388,16425.384,6982.895,106.0,-0.98,14365.0,6850.0,24155.0,9050.0,2617.8,20052.0,2200.0,2561.8,56.0,0.0,0.82
18,Jul-11,5.131095999999999,15.962021,26.839802000000002,1.2180603628827795,0.9270486562754912,28175.823583333335,33566.933000000005,17097.323,16469.609666666664,7018.920083333333,105.91666666666667,-0.9708333333333333,14369.166666666666,6854.166666666667,24155.0,9054.166666666666,2606.5333333333333,20052.0,2200.0,2550.4500000000003,56.083333333333336,0.0,0.78
19,Aug-11,10.885778,16.705282,26.00648,1.0075178024206883,0.8708304856809013,28240.894166666665,33657.094000000005,17143.257999999998,16513.835333333333,7054.945166666667,105.83333333333333,-0.9616666666666667,14373.333333333334,6858.333333333333,24155.0,9058.333333333334,2595.266666666667,20052.0,2200.0,2539.1000000000004,56.166666666666664,0.0,0.76
20,Sep-11,14.011779999999998,16.970594000000002,26.890040999999997,1.075861460790582,0.8146123150863115,28305.96475,33747.255000000005,17189.193,16558.060999999998,7090.97025,105.75,-0.9525,14377.5,6862.5,24155.0,9062.5,2584.0,20052.0,2200.0,2527.75,56.25,0.0,0.59
21,Oct-11,13.177997999999999,15.8810625,26.808854999999998,1.0483035340285278,0.8355563394254724,28371.035333333333,33837.416000000005,17235.128,16602.286666666667,7126.995333333333,105.66666666666667,-0.9433333333333334,14381.666666666666,6866.666666666667,24155.0,9066.666666666666,2572.7333333333336,20052.0,2200.0,2516.4,56.333333333333336,0.0,0.59
22,Nov-11,18.52293,16.554594,26.453103999999996,1.2808924359002625,1.0681452412972068,28436.105916666667,33927.577000000005,17281.063,16646.512333333332,7163.020416666667,105.58333333333333,-0.9341666666666667,14385.833333333334,6870.833333333333,24155.0,9070.833333333334,2561.4666666666667,20052.0,2200.0,2505.05,56.416666666666664,0.0,0.62
