,Date-Monthly,precip,mintemp,maxtemp,DAP,Urea,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population,Average dietary energy supply adequacy (percent) (3-year average),Political stability and absence of violence/terrorism (index),Agricultural land (1000 ha),Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha),price
10,Nov-10,15.476213000000001,13.210030999999999,24.361786,0.7870543883242577,0.5776141449326485,8604.637333333334,10145.168416666667,5171.632333333333,4973.536916666667,1754.3834166666668,108.83333333333333,-0.2325,1809.1366666666668,1131.22,2634.0,1381.22,448.8333333333333,2467.0,250.0,55.0,386.8333333333333,7.0,0.57
11,Dec-10,10.271336999999999,13.208295999999999,25.218086,0.7242223153067748,0.5500562181705946,8623.236,10166.3345,5182.267,4984.068499999999,1758.2205,109.0,-0.225,1810.18,1132.68,2634.0,1382.68,449.4,2467.0,250.0,55.0,387.4,7.0,0.57
12,Jan-11,8.140441,13.740254,24.958105,0.8002821931700435,0.6040697546242202,8641.834666666668,10187.500583333333,5192.901666666667,4994.600083333333,1762.0575833333332,109.16666666666667,-0.2175,1811.2233333333334,1134.14,2634.0,1384.14,449.9666666666667,2467.0,250.0,55.0,387.9666666666667,7.0,0.47
13,Feb-11,12.329203000000001,13.596745,24.811653,0.7848497541832933,0.6106836570471129,8660.433333333334,10208.666666666666,5203.5363333333335,5005.131666666666,1765.8946666666666,109.33333333333333,-0.21,1812.2666666666667,1135.6000000000001,2634.0,1385.6000000000001,450.53333333333336,2467.0,250.0,55.0,388.53333333333336,7.0,0.435
14,Mar-11,14.711516,13.887314000000002,24.390642,0.9160254855706697,0.6360369496682026,8679.032000000001,10229.83275,5214.171,5015.66325,1769.73175,109.5,-0.2025,1813.31,1137.06,2634.0,1387.06,451.1,2467.0,250.0,55.0,389.1,7.0,0.4
15,Apr-11,18.495705,13.532248000000001,24.32461,0.9077581075420534,0.6349346325977204,8697.630666666668,10250.998833333333,5224.805666666666,5026.194833333333,1773.5688333333333,109.66666666666667,-0.195,1814.3533333333335,1138.52,2634.0,1388.52,451.6666666666667,2467.0,250.0,55.0,389.6666666666667,7.0,0.44
16,May-11,13.129786999999999,13.924364,24.041164000000002,0.8994907295134373,0.6239114618928989,8716.229333333335,10272.164916666667,5235.440333333333,5036.726416666666,1777.4059166666666,109.83333333333333,-0.1875,1815.3966666666668,1139.98,2634.0,1389.98,452.23333333333335,2467.0,250.0,55.0,390.23333333333335,7.0,0.53
17,Jun-11,5.272933199999999,12.668409,24.378584,0.9160254855706697,0.6691064617826672,8734.828000000001,10293.331,5246.075,5047.258,1781.243,110.0,-0.18,1816.44,1141.44,2634.0,1391.44,452.8,2467.0,250.0,55.0,390.8,7.0,0.63
18,Jul-11,5.754975,12.495374,25.19107,0.9061046319363302,0.6602879252188101,8753.670500000002,10314.692833333334,5256.797333333333,5057.896916666667,1785.1323333333332,110.0,-0.18416666666666667,1816.3808333333334,1142.2141666666666,2634.0,1392.2141666666666,453.3666666666667,2467.0,250.0,55.0,391.3666666666667,7.0,0.63
19,Aug-11,6.6306305000000005,13.236375,24.706245000000003,1.0549174364514209,0.7694173151965431,8772.513,10336.054666666667,5267.519666666667,5068.535833333333,1789.0216666666665,110.0,-0.18833333333333332,1816.3216666666667,1142.9883333333335,2634.0,1392.9883333333335,453.93333333333334,2467.0,250.0,55.0,391.93333333333334,7.0,0.63
